timestamp,meter_id,load,lag_1,lag_2,lag_24,roll24_mean,hour,dayofweek,month,is_weekend
2025-04-22 07:00:00,346706.0,230.38500022888184,228.35333379109707,224.81384629469642,235.28999900817868,219.85208868863967,7,1,4,0
2025-04-22 08:00:00,335011.0,216.37958272298178,230.38500022888184,228.35333379109707,219.99461599496695,219.64771373950228,8,1,4,0
2025-04-22 09:00:00,339950.3076923077,224.7053856482874,216.37958272298178,230.38500022888184,234.14807833158054,219.49708735316958,9,1,4,0
2025-04-22 10:00:00,339950.3076923077,230.70499830979574,224.7053856482874,216.37958272298178,230.27807558499853,219.10364182469905,10,1,4,0
2025-04-22 11:00:00,339950.3076923077,199.58807607797476,230.70499830979574,224.7053856482874,228.68346052903405,219.12143027156557,11,1,4,0
2025-04-22 12:00:00,335011.0,209.1254164377849,199.58807607797476,230.70499830979574,224.49923177865853,217.9091225861048,12,1,4,0
2025-04-22 13:00:00,339950.3076923077,201.71730863131006,209.1254164377849,199.58807607797476,214.5792300884541,217.2685469469017,13,1,4,0
2025-04-22 14:00:00,339950.3076923077,217.4780766413763,201.71730863131006,209.1254164377849,221.64730952336242,216.73263355285405,14,1,4,0
2025-04-22 15:00:00,339950.3076923077,219.28307753342864,217.4780766413763,201.71730863131006,214.45346128023587,216.55891551610463,15,1,4,0
2025-04-22 16:00:00,339950.3076923077,223.7707683856671,219.28307753342864,217.4780766413763,224.63807795597953,216.76014952665432,16,1,4,0
2025-04-22 17:00:00,339950.3076923077,226.82115232027502,223.7707683856671,219.28307753342864,220.55461237980765,216.7240116278913,17,1,4,0
2025-04-22 18:00:00,339950.3076923077,227.84538562481222,226.82115232027502,223.7707683856671,229.04730752798235,216.9851174587441,18,1,4,0
2025-04-22 19:00:00,339950.3076923077,220.01615260197562,227.84538562481222,226.82115232027502,220.22730783315802,216.93503737944536,19,1,4,0
2025-04-22 20:00:00,339950.3076923077,204.48115422175485,220.01615260197562,227.84538562481222,206.85769242506754,216.92623924481276,20,1,4,0
2025-04-22 21:00:00,339950.3076923077,212.6592313326322,204.48115422175485,220.01615260197562,214.12961578369152,216.82721681967473,21,1,4,0
2025-04-22 22:00:00,339950.3076923077,210.28961592454192,212.6592313326322,204.48115422175485,214.44653789813722,216.76595080088057,22,1,4,0
2025-04-22 23:00:00,339950.3076923077,210.9223069411058,210.28961592454192,212.6592313326322,215.97000004695022,216.59274571864748,23,1,4,0
2025-04-23 00:00:00,341871.25,216.4581270217897,210.9223069411058,210.28961592454192,204.71166737874344,216.3824251725706,0,2,4,0
2025-04-23 01:00:00,339950.3076923077,195.68422992412857,216.4581270217897,210.9223069411058,201.04923130915708,216.87186099103084,1,2,4,0
2025-04-23 02:00:00,337270.2727272727,190.8406819430265,195.68422992412857,216.4581270217897,202.42666662307008,216.64831926665465,2,2,4,0
2025-04-23 03:00:00,339950.3076923077,219.75192378117492,190.8406819430265,195.68422992412857,222.09961465688855,216.1655699049862,3,2,4,0
2025-04-23 04:00:00,339950.3076923077,222.27307598407455,219.75192378117492,190.8406819430265,223.55115450345556,216.06774945183145,4,2,4,0
2025-04-23 05:00:00,339950.3076923077,223.78230872521038,222.27307598407455,219.75192378117492,224.81384629469642,216.01449618019058,5,2,4,0
2025-04-23 06:00:00,339950.3076923077,229.69923224815955,223.78230872521038,222.27307598407455,228.35333379109707,215.97151544812868,6,2,4,0
2025-04-23 07:00:00,339950.3076923077,235.21807685265173,229.69923224815955,223.78230872521038,230.38500022888184,216.02759455050625,7,2,4,0
2025-04-23 08:00:00,339950.3076923077,228.135000375601,235.21807685265173,229.69923224815955,216.37958272298178,216.22897274316335,8,2,4,0
2025-04-23 09:00:00,339950.3076923077,236.4819224430965,228.135000375601,235.21807685265173,224.7053856482874,216.71878181202248,9,2,4,0
2025-04-23 10:00:00,339950.3076923077,223.83692227877106,236.4819224430965,228.135000375601,230.70499830979574,217.20947084513952,10,2,4,0
2025-04-23 11:00:00,339950.3076923077,220.28538513183605,223.83692227877106,236.4819224430965,199.58807607797476,216.92330101051348,11,2,4,0
2025-04-23 12:00:00,342407.1,231.0529983520508,220.28538513183605,223.83692227877106,209.1254164377849,217.78568888775771,12,2,4,0
2025-04-23 13:00:00,324943.1818181818,208.32045468417076,231.0529983520508,220.28538513183605,201.71730863131006,218.69933813418547,13,2,4,0
2025-04-23 14:00:00,291889.36363636365,210.81772821599796,208.32045468417076,231.0529983520508,217.4780766413763,218.9744692197213,14,2,4,0
2025-04-23 15:00:00,291889.36363636365,214.4872727827592,210.81772821599796,208.32045468417076,219.28307753342864,218.69695470199724,15,2,4,0
